name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,135.28125,100.58984375,0.0,-1,False
Probe,84,27,1,136.697509765625,104.997802734375,11.991090774536133,0.375,True
Probe,84,27,1,139.293212890625,106.626220703125,11.991259574890137,0.375,True
Probe,84,27,1,139.89794921875,102.74755859375,11.991233825683594,0.375,True
Probe,84,27,1,135.7646484375,104.648193359375,11.991090774536133,0.375,True
Probe,84,27,1,140.34033203125,99.42578125,11.991259574890137,0.375,True
Probe,84,27,1,139.891845703125,105.49169921875,11.991259574890137,0.375,True
Assimilator,61,3,1,132.5,108.5,11.991259574890137,1.6875,True
Probe,84,27,1,139.37841796875,103.88671875,11.991233825683594,0.375,True
Probe,84,27,1,134.9716796875,96.32666015625,11.991204261779785,0.375,True
Probe,84,27,1,137.37841796875,107.626220703125,11.992155075073242,0.375,True
MineralField750,483,237,16,142.0,105.5,11.991259574890137,1.125,True
Probe,84,27,1,138.45166015625,104.18310546875,11.991254806518555,0.375,True
MineralField,341,235,16,141.0,106.5,11.991259574890137,1.125,True
MineralField,341,235,16,142.0,101.5,11.991259574890137,1.125,True
Probe,84,27,1,140.62646484375,103.0751953125,11.991259574890137,0.375,True
Probe,84,27,1,138.4306640625,102.404296875,11.991090774536133,0.375,True
MineralField750,483,237,16,140.0,107.5,11.992694854736328,1.125,True
MineralField750,483,237,16,143.0,102.5,11.991259574890137,1.125,True
VespeneGeyser,342,255,16,132.5,108.5,11.991259574890137,1.5,True
Probe,84,27,1,140.533203125,101.506103515625,11.991259574890137,0.375,True
VespeneGeyser,342,255,16,142.5,98.5,11.991259574890137,1.5,True
Probe,84,27,1,141.63330078125,102.3818359375,11.991259574890137,0.375,True
Assimilator,61,3,1,142.5,98.5,11.991259574890137,1.6875,True
Probe,84,27,1,137.394775390625,104.057373046875,11.991157531738281,0.375,True
MineralField,341,235,16,142.0,103.5,11.991259574890137,1.125,True
Pylon,60,28,1,131.0,102.0,11.991259574890137,1.125,True
Nexus,59,21,1,135.5,101.5,11.991090774536133,2.75,True
Pylon,60,28,1,135.0,98.0,11.991090774536133,1.125,True
Probe,84,27,1,140.644775390625,101.50537109375,11.991259574890137,0.375,True
MineralField750,483,237,16,137.0,108.5,11.991090774536133,1.125,True
MineralField,341,235,16,136.0,107.5,11.991090774536133,1.125,True
Probe,84,27,1,140.050537109375,105.635986328125,11.991259574890137,0.375,True
Probe,84,27,1,139.0751953125,99.967529296875,11.99111270904541,0.375,True
Probe,84,27,1,135.926025390625,106.63671875,11.991090774536133,0.375,True
