name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,12.5,22.7734375,0.0,-1,False
Gateway,62,15,1,13.5,30.5,11.98867416381836,1.8125,True
LabMineralField,665,232,16,6.0,21.5,11.98867416381836,1.125,True
Probe,84,27,1,6.998291015625,24.505615234375,11.98867416381836,0.375,True
Nexus,59,21,1,12.5,24.5,12.0086669921875,2.75,True
LabMineralField,665,232,16,6.0,23.5,11.98867416381836,1.125,True
Probe,84,27,1,9.52685546875,24.0400390625,11.98867416381836,0.375,True
Probe,84,27,1,11.2958984375,20.325439453125,11.98867416381836,0.375,True
CyberneticsCore,72,7,1,10.5,30.5,11.990283012390137,1.8125,True
LabMineralField750,666,233,16,5.0,24.5,11.9859619140625,1.125,True
Probe,84,27,1,13.884765625,19.415771484375,11.98867416381836,0.375,True
SpacePlatformGeyser,343,250,16,14.5,17.5,11.98867416381836,1.5,True
Pylon,60,28,1,14.0,28.0,11.98867416381836,1.125,True
Probe,84,27,1,8.345458984375,27.976806640625,11.98867416381836,0.375,True
Probe,84,27,1,9.44921875,23.09130859375,11.98867416381836,0.375,True
Probe,84,27,1,6.8583984375,27.351806640625,11.98867416381836,0.375,True
LabMineralField,665,232,16,7.0,29.5,11.990283012390137,1.125,True
Probe,84,27,1,8.457275390625,26.6796875,11.98867416381836,0.375,True
Probe,84,27,1,9.694580078125,27.87158203125,11.98867416381836,0.375,True
LabMineralField750,666,233,16,8.0,30.5,11.991891860961914,1.125,True
Probe,84,27,1,6.3544921875,24.505126953125,11.98867416381836,0.375,True
LabMineralField,665,232,16,6.0,26.5,11.98867416381836,1.125,True
LabMineralField750,666,233,16,5.0,27.5,11.9859619140625,1.125,True
LabMineralField750,666,233,16,5.0,22.5,11.9859619140625,1.125,True
Probe,84,27,1,7.32958984375,22.114990234375,11.98867416381836,0.375,True
Assimilator,61,3,1,10.5,17.5,11.98867416381836,1.6875,True
Probe,84,27,1,6.3125,22.566162109375,11.98867416381836,0.375,True
Probe,84,27,1,13.241455078125,21.400390625,11.98867416381836,0.375,True
Probe,84,27,1,8.812744140625,25.634765625,11.98867416381836,0.375,True
Probe,84,27,1,11.19921875,20.000244140625,11.98867416381836,0.375,True
Assimilator,61,3,1,14.5,17.5,11.98867416381836,1.6875,True
SpacePlatformGeyser,343,250,16,10.5,17.5,11.98867416381836,1.5,True
