name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,131.33203125,95.9296875,0.0,-1,False
MineralField,341,235,16,141.0,106.5,11.991259574890137,1.125,True
MineralField750,483,237,16,137.0,108.5,11.991090774536133,1.125,True
MineralField750,483,237,16,143.0,102.5,11.991259574890137,1.125,True
MineralField,341,235,16,136.0,107.5,11.991090774536133,1.125,True
Probe,84,27,1,140.669189453125,99.286376953125,11.991259574890137,0.375,True
Probe,84,27,1,135.926025390625,106.63671875,11.991090774536133,0.375,True
Probe,84,27,1,140.041748046875,105.62841796875,11.991259574890137,0.375,True
WarpGate,133,41,1,126.5,104.5,11.989013671875,1.8125,True
Probe,84,27,1,137.37841796875,107.62646484375,11.992156028747559,0.375,True
Probe,84,27,1,139.90771484375,102.855224609375,11.991235733032227,0.375,True
Pylon,60,28,1,128.0,99.0,11.991090774536133,1.125,True
Pylon,60,28,1,131.0,102.0,11.991259574890137,1.125,True
VespeneGeyser,342,255,16,142.5,98.5,11.991259574890137,1.5,True
Probe,84,27,1,138.32763671875,100.28564453125,11.991090774536133,0.375,True
WarpGate,133,41,1,127.5,95.5,11.989013671875,1.8125,True
TemplarArchive,68,38,1,137.5,95.5,11.989013671875,1.8125,True
Pylon,60,28,1,131.0,96.0,11.991090774536133,1.125,True
Pylon,60,28,1,135.0,98.0,11.991090774536133,1.125,True
Probe,84,27,1,139.78564453125,105.395263671875,11.991259574890137,0.375,True
MineralField,341,235,16,142.0,103.5,11.991259574890137,1.125,True
Probe,84,27,1,140.763916015625,104.739013671875,11.991259574890137,0.375,True
Assimilator,61,3,1,142.5,98.5,11.991259574890137,1.6875,True
Gateway,62,15,1,123.5,102.5,11.991259574890137,1.8125,True
Probe,84,27,1,140.634033203125,103.076416015625,11.991259574890137,0.375,True
RoboticsFacility,71,31,1,129.5,104.5,11.991259574890137,1.8125,True
WarpGate,133,41,1,128.5,101.5,11.991174697875977,1.8125,True
Probe,84,27,1,133.4052734375,106.388671875,11.991090774536133,0.375,True
Probe,84,27,1,139.3056640625,106.642822265625,11.991259574890137,0.375,True
WarpGate,133,41,1,130.5,93.5,11.989013671875,1.8125,True
Probe,84,27,1,133.95556640625,105.10400390625,11.991090774536133,0.375,True
TwilightCouncil,65,39,1,130.5,98.5,11.991090774536133,1.8125,True
WarpGate,133,41,1,133.5,95.5,11.989013671875,1.8125,True
Probe,84,27,1,138.240478515625,103.186767578125,11.99112606048584,0.375,True
Probe,84,27,1,136.631103515625,104.79736328125,11.991090774536133,0.375,True
Probe,84,27,1,138.31298828125,97.350830078125,11.991259574890137,0.375,True
MineralField,341,235,16,142.0,101.5,11.991259574890137,1.125,True
Nexus,59,21,1,135.5,101.5,11.991090774536133,2.75,True
WarpGate,133,41,1,125.5,99.5,11.991090774536133,1.8125,True
Probe,84,27,1,139.31396484375,106.65185546875,11.991259574890137,0.375,True
Assimilator,61,3,1,132.5,108.5,11.991259574890137,1.6875,True
Probe,84,27,1,138.795166015625,102.006103515625,11.991092681884766,0.375,True
MineralField750,483,237,16,140.0,107.5,11.992694854736328,1.125,True
Probe,84,27,1,141.6328125,102.3818359375,11.991259574890137,0.375,True
Probe,84,27,1,135.893798828125,106.22265625,11.991090774536133,0.375,True
Probe,84,27,1,139.759033203125,101.50537109375,11.991218566894531,0.375,True
MineralField750,483,237,16,142.0,105.5,11.991259574890137,1.125,True
VespeneGeyser,342,255,16,132.5,108.5,11.991259574890137,1.5,True
