name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,12.0,96.92578125,0.0,-1,False
LabMineralField750,666,233,16,12.0,96.5,9.999237060546875,1.125,True
Probe,84,27,1,18.951171875,109.470458984375,10.133073806762695,0.375,True
Probe,84,27,1,9.686767578125,98.363525390625,9.999402046203613,0.375,True
Probe,84,27,1,10.247802734375,104.0029296875,9.999127388000488,0.375,True
Probe,84,27,1,9.95751953125,101.865234375,9.999127388000488,0.375,True
Probe,84,27,1,7.347412109375,101.799560546875,9.999237060546875,0.375,True
Assimilator,61,3,1,6.5,107.5,9.999237060546875,1.6875,True
Probe,84,27,1,11.2001953125,101.408447265625,9.999127388000488,0.375,True
Probe,84,27,1,10.853271484375,105.01318359375,9.999127388000488,0.375,True
LabMineralField,665,232,16,7.0,100.5,9.999237060546875,1.125,True
Probe,84,27,1,7.34228515625,101.860107421875,9.999237060546875,0.375,True
Pylon,60,28,1,10.0,96.0,9.999237060546875,1.125,True
LabMineralField,665,232,16,7.0,104.5,9.999237060546875,1.125,True
LabMineralField750,666,233,16,6.0,103.5,9.999237060546875,1.125,True
Probe,84,27,1,13.06787109375,98.36474609375,9.9991455078125,0.375,True
LabMineralField750,666,233,16,6.0,101.5,9.999237060546875,1.125,True
Probe,84,27,1,8.358642578125,104.14892578125,9.99929141998291,0.375,True
Probe,84,27,1,8.9560546875,99.370361328125,9.999402046203613,0.375,True
SpacePlatformGeyser,343,250,16,6.5,107.5,9.999237060546875,1.5,True
Probe,84,27,1,8.23193359375,106.5087890625,9.996185302734375,0.375,True
Nexus,59,21,1,13.5,103.5,9.999127388000488,2.75,True
Probe,84,27,1,11.61474609375,97.35498046875,9.999237060546875,0.375,True
Probe,84,27,1,10.22216796875,99.078857421875,9.999402046203613,0.375,True
LabMineralField,665,232,16,13.0,97.5,9.996185302734375,1.125,True
Assimilator,61,3,1,12.5,110.5,9.996185302734375,1.6875,True
UnbuildablePlatesDestructible,474,252,16,16.0,110.0,9.996185302734375,1.125,True
LabMineralField750,666,233,16,9.0,97.5,9.999237060546875,1.125,True
Pylon,60,28,1,16.0,100.0,9.999127388000488,1.125,True
LabMineralField,665,232,16,8.0,98.5,9.999402046203613,1.125,True
Probe,84,27,1,8.11376953125,103.49169921875,9.999277114868164,0.375,True
Probe,84,27,1,8.342041015625,101.12060546875,9.999307632446289,0.375,True
SpacePlatformGeyser,343,250,16,12.5,110.5,9.996185302734375,1.5,True
WarpGate,133,41,1,27.5,112.5,11.9981689453125,1.8125,True
