name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,27.7265625,132.48828125,0.0,-1,False
LabMineralField750,666,233,16,13.0,137.5,11.989013671875,1.125,True
Queen,126,159,1,25.262939453125,131.8828125,11.990537643432617,0.875,True
Mutalisk,108,149,2,28.452392578125,137.258544921875,15.73876953125,0.5,True
Hydralisk,107,132,1,25.819580078125,136.938720703125,11.989013671875,0.625,True
Hydralisk,107,132,1,25.293701171875,135.442626953125,11.990537643432617,0.625,True
Extractor,88,127,1,20.5,138.5,11.989013671875,1.6875,True
Drone,104,124,1,19.029052734375,135.06884765625,11.990537643432617,0.375,True
Queen,126,159,1,22.378662109375,131.249267578125,11.990537643432617,0.875,True
LabMineralField750,666,233,16,16.0,138.5,11.989013671875,1.125,True
Mutalisk,108,149,2,29.7509765625,136.95556640625,15.73828125,0.5,True
Mutalisk,108,149,2,27.690673828125,136.990966796875,15.73828125,0.5,True
Mutalisk,108,149,2,29.402099609375,135.718994140625,15.73828125,0.5,True
Mutalisk,108,149,2,29.390380859375,136.452880859375,15.73828125,0.5,True
Larva,151,142,1,17.24853515625,128.293212890625,11.990537643432617,0.125,True
LabMineralField,665,232,16,17.0,137.5,11.989013671875,1.125,True
LabMineralField,665,232,16,11.0,133.5,11.989013671875,1.125,True
Mutalisk,108,149,2,28.7509765625,136.499755859375,15.73828125,0.5,True
Mutalisk,108,149,2,29.051025390625,137.043212890625,15.73828125,0.5,True
LabMineralField,665,232,16,11.0,131.5,11.989013671875,1.125,True
LabMineralField750,666,233,16,11.0,135.5,11.989013671875,1.125,True
SpacePlatformGeyser,343,250,16,20.5,138.5,11.989013671875,1.5,True
SporeCrawler,99,171,1,26.0,126.0,11.989013671875,0.875,True
Larva,151,142,1,17.08447265625,128.385986328125,11.990537643432617,0.125,True
Larva,151,142,1,17.300537109375,128.885009765625,11.990537643432617,0.125,True
Zergling,105,179,1,33.6220703125,138.263671875,11.989013671875,0.375,True
LabMineralField,665,232,16,12.0,136.5,11.989013671875,1.125,True
Lair,100,141,1,17.5,131.5,11.990537643432617,2.75,True
SporeCrawler,99,171,1,19.0,125.0,11.989013671875,0.875,True
Mutalisk,108,149,2,31.975341796875,130.082763671875,15.73828125,0.5,True
Drone,104,124,1,19.570068359375,136.33251953125,11.989013671875,0.375,True
