name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,105.43359375,54.546875,0.0,-1,False
Marine,48,74,1,103.4189453125,56.145263671875,7.992099285125732,0.375,True
Thor,52,99,1,99.21044921875,55.08154296875,7.992099285125732,1.0,True
Marine,48,74,1,101.112548828125,50.815673828125,7.991499423980713,0.375,True
Marauder,51,73,1,102.807373046875,52.032958984375,7.992099285125732,0.5625,True
Marine,48,74,1,106.441162109375,55.552490234375,7.992099285125732,0.375,True
Marine,48,74,1,103.4580078125,54.044677734375,7.992099285125732,0.375,True
Marine,48,74,1,105.92626953125,56.00927734375,7.99114990234375,0.375,True
Marauder,51,73,1,101.9482421875,50.491943359375,7.992064476013184,0.5625,True
SiegeTank,33,90,1,104.396728515625,50.242919921875,7.992099285125732,0.875,True
SiegeTank,33,90,1,101.307861328125,52.392822265625,7.992099285125732,0.875,True
SiegeTank,33,90,1,101.821533203125,55.828369140625,7.992099285125732,0.875,True
Marine,48,74,1,102.767578125,53.862060546875,7.992099285125732,0.375,True
Marauder,51,73,1,103.04443359375,50.99658203125,7.992099285125732,0.5625,True
Marine,48,74,1,104.566650390625,53.281982421875,7.992099285125732,0.375,True
Marine,48,74,1,105.22412109375,52.518798828125,7.992099285125732,0.375,True
SiegeTank,33,90,1,107.49072265625,54.163330078125,7.992099285125732,0.875,True
Marine,48,74,1,104.80322265625,51.966796875,7.992099285125732,0.375,True
Marine,48,74,1,102.13916015625,51.409423828125,7.992099285125732,0.375,True
Marine,48,74,1,103.675537109375,51.661376953125,7.992099285125732,0.375,True
Marine,48,74,1,104.37109375,51.43115234375,7.992099285125732,0.375,True
Marine,48,74,1,103.425537109375,55.399169921875,7.992099285125732,0.375,True
Marine,48,74,1,103.520751953125,52.541015625,7.992099285125732,0.375,True
Marine,48,74,1,103.2138671875,50.13720703125,7.992099285125732,0.375,True
Marine,48,74,1,103.85302734375,53.29638671875,7.992099285125732,0.375,True
VikingFighter,35,102,1,102.519287109375,52.811767578125,11.73828125,0.75,True
Marauder,51,73,1,101.9248046875,53.622314453125,7.992099285125732,0.5625,True
Marine,48,74,1,104.144287109375,52.16552734375,7.992099285125732,0.375,True
SiegeTankSieged,32,91,1,100.822021484375,54.525390625,7.992099285125732,0.875,True
Medivac,54,75,1,104.07080078125,52.658203125,11.73828125,0.75,True
Marine,48,74,1,105.61474609375,54.461669921875,7.992099285125732,0.375,True
