name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,37.55078125,31.0625,0.0,-1,False
MineralField,341,235,16,49.0,42.5,7.99114990234375,1.125,True
MineralField,341,235,16,41.0,26.5,9.991256713867188,1.125,True
Factory,27,58,1,23.5,45.5,9.991594314575195,1.8125,True
SiegeTankSieged,32,91,1,36.79736328125,37.363525390625,9.992813110351562,0.875,True
MineralField750,483,237,16,47.0,44.5,7.99114990234375,1.125,True
FactoryTechLab,39,61,1,26.0,45.0,9.99193286895752,1.125,True
StarportReactor,42,94,1,31.0,26.0,11.989013671875,1.125,True
Factory,27,58,1,31.5,18.5,11.991259574890137,1.8125,True
EngineeringBay,22,57,1,29.5,23.5,11.991090774536133,1.8125,True
MineralField,341,235,16,47.0,46.5,7.99114990234375,1.125,True
VespeneGeyser,342,255,16,40.5,29.5,9.991256713867188,1.5,True
SiegeTankSieged,32,91,1,47.96630859375,36.918701171875,9.990754127502441,0.875,True
Medivac,54,75,1,43.114013671875,38.607421875,13.73828125,0.75,True
MineralField,341,235,16,41.0,24.5,9.991256713867188,1.125,True
SupplyDepot,19,96,1,33.0,28.0,11.989013671875,1.25,True
Starport,28,92,1,28.5,26.5,11.989013671875,1.8125,True
Thor,52,99,1,32.77392578125,40.531494140625,9.991426467895508,1.0,True
MineralField750,483,237,16,48.0,43.5,7.99114990234375,1.125,True
MineralField750,483,237,16,41.0,22.5,9.990081787109375,1.125,True
SiegeTankSieged,32,91,1,43.935546875,45.91357421875,9.985422134399414,0.875,True
SupplyDepot,19,96,1,37.0,23.0,11.989013671875,1.25,True
MineralField750,483,237,16,42.0,21.5,9.982452392578125,1.125,True
SiegeTank,33,90,1,34.537353515625,26.592529296875,11.989013671875,0.875,True
MineralField750,483,237,16,40.0,25.5,9.987030029296875,1.125,True
MineralField,341,235,16,47.0,45.5,7.99114990234375,1.125,True
Dog,336,227,16,39.118408203125,38.495849609375,9.990081787109375,0.375,True
MineralField750,483,237,16,46.0,47.5,8.0018310546875,1.125,True
