name,sc_type,ml_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen
Camera,-1,-1,-1,22.44140625,122.2578125,0.0,-1,False
Drone,104,124,1,15.925537109375,125.630126953125,11.988958358764648,0.375,True
Queen,126,159,1,15.12060546875,124.874755859375,11.988958358764648,0.875,True
Drone,104,124,1,13.3623046875,125.632568359375,11.988958358764648,0.375,True
NydusNetwork,95,151,1,20.5,122.5,11.988958358764648,1.8125,True
Queen,126,159,1,15.508544921875,117.1298828125,11.988958358764648,0.875,True
SpacePlatformGeyser,343,250,16,19.5,127.5,11.9859619140625,1.5,True
Queen,126,159,1,12.62255859375,125.33251953125,11.988958358764648,0.875,True
Banshee,55,47,2,31.29345703125,118.318115234375,15.769775390625,0.75,True
Larva,151,142,1,16.835693359375,117.297607421875,11.988958358764648,0.125,True
LabMineralField,665,232,16,13.0,126.5,11.9859619140625,1.125,True
LabMineralField,665,232,16,16.0,126.5,11.9859619140625,1.125,True
Larva,151,142,1,15.884033203125,117.80419921875,11.988958358764648,0.125,True
Larva,151,142,1,16.555419921875,117.9560546875,11.988958358764648,0.125,True
Queen,126,159,1,17.365478515625,117.628173828125,11.988958358764648,0.875,True
Lair,100,141,1,15.5,120.5,12.037971496582031,2.75,True
SpawningPool,89,167,1,11.5,116.5,11.988958358764648,1.8125,True
LabMineralField750,666,233,16,15.0,127.5,11.9859619140625,1.125,True
Larva,151,142,1,15.8916015625,117.55517578125,11.988958358764648,0.125,True
Queen,126,159,1,13.735595703125,123.9091796875,11.988958358764648,0.875,True
Larva,151,142,1,15.383544921875,117.69287109375,11.988958358764648,0.125,True
Larva,151,142,1,15.015625,117.61279296875,11.988958358764648,0.125,True
Drone,104,124,1,14.626220703125,126.6298828125,11.9859619140625,0.375,True
